Dataset	Size	NumFeatures	NumClasses	Alpha	Test Acc	Robust Acc (eps=0.1)	Robust Acc (eps=1.0)	Robust Acc (eps=2.0)	Effective Rank	Normal Alignment	Runtime (s)
abalone	4177	8	3	0.0	63.36	46.00	6.80	13.22	1.1311	0.2629	2.07
acute-inflammation	120	6	2	0.0	100.00	100.00	18.33	10.00	1.6055	0.3814	0.42
acute-nephritis	120	6	2	0.0	100.00	97.50	36.67	40.00	1.0976	0.5002	0.36
adult	48842	14	2	0.0	85.20	76.04	20.29	16.21	1.0281	0.2105	19.86
annealing	898	31	5	0.0	94.47	79.90	21.98	13.94	1.9919	0.2497	0.55
arrhythmia	452	262	13	0.0	70.80	60.18	13.72	8.41	2.8318	0.4397	1.31
audiology-std	196	59	18	0.0	81.98	70.35	4.07	1.16	4.3547	0.1849	0.78
balance-scale	625	4	3	0.0	95.83	83.17	42.63	28.04	1.3068	0.3978	0.49
balloons	16	4	2	0.0	68.75	43.75	37.50	37.50	1.7372	0.9103	0.40
bank	4521	16	2	0.0	89.12	83.27	34.91	33.54	1.0330	0.2220	1.47
blood	748	4	2	0.0	78.07	72.86	27.14	18.45	1.0972	0.4584	0.52
breast-cancer	286	9	2	0.0	71.83	64.08	10.92	5.28	1.1369	0.2802	0.43
breast-cancer-wisc	699	9	2	0.0	97.14	96.71	57.86	44.57	1.2210	0.5736	0.51
breast-cancer-wisc-diag	569	30	2	0.0	97.71	92.43	60.39	50.18	1.1507	0.4908	0.49
breast-cancer-wisc-prog	198	33	2	0.0	77.55	77.55	77.04	75.00	1.5623	0.8283	0.52
breast-tissue	106	9	6	0.0	74.04	50.96	9.62	9.62	1.8873	0.5015	0.40
car	1728	6	4	0.0	98.67	93.06	41.67	45.08	1.3178	0.4530	0.77
cardiotocography-10clases	2126	21	10	0.0	84.04	59.04	9.37	4.28	2.2748	0.2175	0.95
cardiotocography-3clases	2126	21	3	0.0	92.51	82.49	35.03	21.66	1.5248	0.3147	0.88
chess-krvk	28056	6	18	0.0	80.74	29.67	1.65	0.65	2.8674	0.3366	16.03
chess-krvkp	3196	36	2	0.0	99.09	88.02	35.08	31.48	1.1427	0.1754	3.12
congressional-voting	435	16	2	0.0	61.24	61.24	61.24	61.24	1.6656	0.6959	0.44
conn-bench-sonar-mines-rocks	208	60	2	0.0	85.10	72.12	9.13	6.25	1.5015	0.3057	0.52
conn-bench-vowel-deterding	990	11	11	0.0	96.21	83.14	1.89	0.57	2.8145	0.3720	0.48
connect-4	67557	42	2	0.0	86.80	35.62	27.07	28.27	1.0372	0.1634	112.42
contrac	1473	9	3	0.0	55.84	43.07	5.23	7.68	1.5013	0.2403	0.69
credit-approval	690	15	2	0.0	87.65	82.12	41.13	29.22	1.0710	0.3074	0.51
cylinder-bands	512	35	2	0.0	78.52	61.13	8.98	3.91	1.1833	0.1906	0.79
dermatology	366	34	6	0.0	98.90	93.13	16.48	16.48	1.8835	0.2355	0.88
echocardiogram	131	10	2	0.0	81.82	76.52	28.03	24.24	1.1261	0.2891	0.40
ecoli	336	7	8	0.0	86.01	81.85	17.86	4.17	2.9951	0.2844	0.44
energy-y1	768	8	3	0.0	96.74	88.15	26.69	24.87	1.4788	0.4426	0.52
energy-y2	768	8	3	0.0	93.49	83.59	29.69	21.88	1.3464	0.5072	0.52
fertility	100	9	2	0.0	88.00	86.00	51.00	33.00	1.3567	0.2646	0.42
flags	194	28	8	0.0	52.60	43.23	8.85	3.65	4.4244	0.1991	0.41
glass	214	9	6	0.0	69.81	57.08	7.55	2.36	2.5605	0.3797	0.41
haberman-survival	306	3	2	0.0	73.36	73.36	73.36	72.70	1.5630	0.4144	0.43
hayes-roth	160	3	3	0.0	83.33	78.79	8.33	7.58	1.5330	0.9089	0.42
heart-cleveland	303	13	5	0.0	62.17	52.96	23.03	20.07	1.5960	0.3752	0.43
heart-hungarian	294	12	2	0.0	85.96	83.22	23.29	30.48	1.2109	0.4317	0.43
heart-switzerland	123	12	5	0.0	45.97	41.13	12.90	16.13	1.7710	0.3616	0.42
heart-va	200	12	5	0.0	39.00	34.00	13.00	14.50	1.3504	0.4226	0.42
hepatitis	155	19	2	0.0	83.33	78.21	19.23	21.15	1.3340	0.2115	0.41
hill-valley	1212	100	2	0.0	56.13	36.26	39.57	39.90	1.0081	0.9893	0.88
horse-colic	368	25	2	0.0	80.67	75.00	22.33	19.00	1.7051	0.3373	0.43
ilpd-indian-liver	583	9	2	0.0	69.01	47.09	22.26	22.43	1.0457	0.3894	0.47
image-segmentation	2310	18	7	0.0	89.90	75.48	11.54	5.77	1.8490	0.2993	0.41
ionosphere	351	33	2	0.0	92.61	74.43	33.24	28.41	1.1113	0.2302	0.63
iris	150	4	3	0.0	97.97	94.59	37.16	33.78	1.1914	0.5782	0.41
led-display	1000	7	10	0.0	73.10	67.20	6.70	1.10	3.8941	0.2504	0.59
lenses	24	4	3	0.0	79.17	70.83	58.33	20.83	1.8038	0.3195	0.39
letter	20000	16	26	0.0	97.98	86.62	1.52	0.06	5.0111	0.2137	10.08
libras	360	90	15	0.0	77.50	63.89	6.11	5.00	3.4378	0.4097	1.19
low-res-spect	531	100	9	0.0	89.66	78.01	30.83	26.13	1.6497	0.4364	1.16
lung-cancer	32	56	3	0.0	62.50	37.50	12.50	18.75	2.1405	0.3259	0.39
lymphography	148	18	4	0.0	86.49	73.65	41.89	23.65	1.3750	0.2909	0.43
magic	19020	10	2	0.0	86.89	69.20	15.46	10.83	1.0111	0.2032	7.97
mammographic	961	5	2	0.0	82.19	74.48	13.85	12.19	1.0714	0.2449	0.56
molec-biol-promoter	106	57	2	0.0	93.27	87.50	50.96	38.46	1.0860	0.1688	0.43
molec-biol-splice	3190	60	3	0.0	86.86	71.11	9.54	6.40	1.8539	0.1030	4.12
monks-1	556	6	2	0.0	98.39	94.35	21.77	16.94	1.0613	0.1574	0.41
monks-2	601	6	2	0.0	71.43	48.81	13.69	22.02	1.0349	0.4470	0.42
monks-3	554	6	2	0.0	94.17	89.17	38.33	20.83	1.0592	0.3703	0.41
mushroom	8124	21	2	0.0	99.99	99.74	16.68	7.68	1.2144	0.3574	2.54
musk-1	476	166	2	0.0	88.45	73.95	22.06	25.21	1.5948	0.4251	0.76
musk-2	6598	166	2	0.0	98.47	86.46	49.44	53.64	1.4219	0.3468	6.11
nursery	12960	8	5	0.0	99.11	88.30	27.38	19.86	1.5657	0.3015	4.77
oocytes_merluccius_nucleus_4d	1022	41	2	0.0	74.51	30.00	23.14	31.27	1.0768	0.3746	1.19
oocytes_merluccius_states_2f	1022	25	3	0.0	91.27	83.82	45.59	31.96	1.4304	0.4843	0.58
oocytes_trisopterus_nucleus_2f	912	25	2	0.0	78.18	36.84	23.57	18.20	1.0416	0.3006	0.56
oocytes_trisopterus_states_5b	912	32	3	0.0	91.34	65.24	36.62	33.33	1.2912	0.2868	0.56
optical	5620	62	10	0.0	98.35	94.27	8.53	2.20	3.8228	0.2130	7.17
ozone	2536	72	2	0.0	97.16	97.16	97.16	97.16	1.2779	0.7507	2.33
page-blocks	5473	10	5	0.0	96.51	91.37	17.43	6.36	2.1013	0.1967	1.79
parkinsons	195	22	2	0.0	90.31	84.18	35.71	37.76	1.2087	0.4057	0.43
pendigits	10992	16	10	0.0	99.67	95.86	3.60	0.65	2.9184	0.2537	2.57
pima	768	8	2	0.0	77.47	72.66	46.88	32.03	1.0387	0.3465	0.52
pittsburg-bridges-MATERIAL	106	7	3	0.0	93.27	92.31	49.04	17.31	1.7637	0.2660	0.41
pittsburg-bridges-REL-L	103	7	3	0.0	73.08	70.19	5.77	0.96	1.7626	0.3320	0.42
pittsburg-bridges-SPAN	92	7	3	0.0	69.57	60.87	6.52	6.52	1.5111	0.3825	0.41
pittsburg-bridges-T-OR-D	102	7	2	0.0	89.00	88.00	43.00	47.00	1.1364	0.3262	0.41
pittsburg-bridges-TYPE	105	7	6	0.0	67.31	62.50	6.73	8.65	1.6293	0.3976	0.42
planning	182	12	2	0.0	71.11	71.11	71.11	71.11	1.6176	0.8940	0.42
plant-margin	1600	64	100	0.0	81.44	51.31	1.44	0.56	8.9203	0.3696	11.80
plant-shape	1600	64	100	0.0	47.75	8.62	1.75	0.94	2.7999	0.6012	16.28
plant-texture	1599	64	100	0.0	80.75	62.81	1.06	0.50	13.5928	0.2900	11.31
post-operative	90	8	3	0.0	72.73	72.73	72.73	72.73	1.8947	0.9082	0.41
primary-tumor	330	17	15	0.0	52.44	47.87	5.49	0.30	7.4702	0.1473	0.45
ringnorm	7400	20	2	0.0	98.49	95.19	30.91	45.61	1.0420	0.9256	2.26
seeds	210	7	3	0.0	90.38	85.58	24.04	19.71	1.3362	0.5050	0.42
semeion	1593	256	10	0.0	93.15	85.74	14.76	10.36	4.7686	0.3951	3.21
soybean	683	35	18	0.0	91.23	84.42	1.62	0.97	7.0544	0.2445	1.09
spambase	4601	57	2	0.0	94.74	71.30	21.98	12.63	1.0664	0.1156	4.37
spect	265	22	2	0.0	73.75	70.00	48.75	42.50	1.6387	0.5527	0.42
spectf	267	44	2	0.0	82.50	26.25	35.00	30.00	1.0446	0.8107	0.42
statlog-australian-credit	690	14	2	0.0	68.02	68.02	68.02	68.02	1.7781	0.6373	0.50
statlog-german-credit	1000	24	2	0.0	78.80	67.90	35.50	24.90	1.0911	0.1987	0.58
statlog-heart	270	13	2	0.0	86.19	81.72	8.21	13.06	1.5516	0.2795	0.42
statlog-image	2310	18	7	0.0	98.14	85.75	9.06	6.63	1.8203	0.3163	0.96
statlog-landsat	6435	36	6	0.0	90.55	63.53	24.30	15.51	1.6396	0.3217	6.91
statlog-shuttle	58000	9	7	0.0	99.95	93.25	28.80	25.98	1.5064	0.4795	35.13
statlog-vehicle	846	18	4	0.0	74.88	43.25	6.52	3.32	1.5730	0.2222	0.56
steel-plates	1941	27	7	0.0	77.32	57.11	5.57	2.73	2.4069	0.2700	0.87
synthetic-control	600	60	6	0.0	99.50	93.67	29.17	10.17	1.4599	0.2899	1.19
teaching	151	5	3	0.0	61.18	46.71	1.32	0.66	1.7063	0.4079	0.42
thyroid	7200	21	3	0.0	98.14	93.64	50.34	47.72	1.1778	0.0995	1.29
tic-tac-toe	958	9	2	0.0	99.06	98.12	26.46	15.38	1.0359	0.3054	0.57
titanic	2201	3	2	0.0	78.82	74.77	52.50	12.00	1.4053	0.4416	0.85
trains	10	29	2	0.0	87.50	87.50	75.00	37.50	1.4966	0.6270	0.40
twonorm	7400	20	2	0.0	97.89	93.19	35.11	22.74	1.1811	0.4162	2.26
vertebral-column-2clases	310	6	2	0.0	82.79	63.64	42.21	34.42	1.0586	0.3730	0.45
vertebral-column-3clases	310	6	3	0.0	84.42	74.35	29.22	23.05	1.3709	0.3219	0.43
wall-following	5456	24	4	0.0	92.17	62.74	17.61	16.51	1.5507	0.2088	1.79
waveform	5000	21	3	0.0	87.06	73.48	27.92	21.56	1.2254	0.2922	1.59
waveform-noise	5000	40	3	0.0	87.08	71.88	31.92	23.80	1.1660	0.2412	5.58
wine	178	13	3	0.0	98.30	96.02	34.09	26.14	1.3889	0.3617	0.31
wine-quality-red	1599	11	6	0.0	68.50	48.25	3.25	1.25	2.1055	0.3348	0.67
wine-quality-white	4898	11	7	0.0	68.40	47.24	0.29	0.16	2.6053	0.3115	1.58
yeast	1484	8	10	0.0	61.46	49.46	5.46	1.01	2.7601	0.3247	0.65
zoo	101	16	7	0.0	99.00	95.00	27.00	15.00	3.9150	0.3625	0.30
